iter	Passed	Remaining
0	1	195
1	3	181
2	5	176
3	7	170
4	8	168
5	10	165
6	12	161
7	13	158
8	15	156
9	17	154
10	18	151
11	20	150
12	22	148
13	23	146
14	25	144
15	27	142
16	28	139
17	30	137
18	31	136
19	33	134
20	35	132
21	36	131
22	38	129
23	40	127
24	41	125
25	43	123
26	45	122
27	46	120
28	49	120
29	50	118
30	52	116
31	53	114
32	55	111
33	56	110
34	58	108
35	59	106
36	61	105
37	63	103
38	65	101
39	66	100
40	68	98
41	68	95
42	70	93
43	72	91
44	73	90
45	74	87
46	76	86
47	78	84
48	80	83
49	81	81
50	83	80
51	84	77
52	85	76
53	87	74
54	89	72
55	90	71
56	92	69
57	94	68
58	95	66
59	97	64
60	99	63
61	100	61
62	102	60
63	104	58
64	105	57
65	107	55
66	109	53
67	110	52
68	112	50
69	114	48
70	115	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	125	37
77	127	35
78	129	34
79	130	32
80	132	31
81	134	29
82	134	27
83	136	25
84	138	24
85	139	22
86	141	21
87	142	19
88	144	17
89	146	16
90	148	14
91	150	13
92	151	11
93	153	9
94	154	8
95	156	6
96	157	4
97	159	3
98	161	1
99	162	0
